n_events,n_rows,r2_mean,r2_std,mse_mean,mse_std,n_folds,hours_mean,hours_median,hours_p25,hours_p75
500,500,-0.06639307737350464,0.09597199886412042,0.003089377520761142,0.0007323239364527508,6,21.696035385131836,17.558334350585938,15.362500190734863,20.33333396911621
1000,1000,-0.03956373532613119,0.056692753762806115,0.0036666324497976652,0.0017119396322495025,12,25.333683013916016,18.049999237060547,15.983333587646484,20.316667556762695
1500,1500,0.035621692736943565,0.0793359841869651,0.003932435191624488,0.001558218215471752,12,27.115354537963867,18.649999618530273,16.46666717529297,20.96666717529297
2000,2000,0.0312837560971578,0.05995035272147842,0.003610469362077614,0.0010510399188672593,12,25.205158233642578,19.03333282470703,16.83333396911621,21.049999237060547
2500,2500,0.018995275100072224,0.05976854057800791,0.0035224269571093223,0.0007187086411692429,12,25.34357261657715,19.183332443237305,17.049999237060547,21.33333396911621
3000,3000,0.013961508870124817,0.046249268514296484,0.0030268434687362364,0.0006963137089231347,12,24.57648468017578,19.41666603088379,17.366666793823242,21.587501525878906
3500,3500,-0.0025336196025212607,0.05330119843855846,0.003113535620893041,0.0005599945351589098,12,24.87873649597168,19.65833282470703,17.516666412353516,21.950000762939453
4000,4000,-0.006246412793795268,0.045364116205313214,0.0029860440408810973,0.0003648919327658211,12,24.552595138549805,19.883333206176758,17.733333587646484,22.116666793823242
4500,4500,0.019175052642822266,0.04606919096999067,0.0030676137539558113,0.0005718246450755252,12,24.968551635742188,19.933332443237305,17.75,22.22083282470703
4524,4524,0.018232479691505432,0.05473121214559769,0.003056590387132019,0.000505974813253453,12,24.936349868774414,19.91666603088379,17.75,22.21666717529297
