feature,correlation,p_value,n_valid
tab_is_weekend,0.070111215,0.1254392599216145,479
tab_day_of_week,0.06257486,0.17153763366277827,479
inj_report_hours_before_game,-0.053002663,0.2469439552762526,479
tab_num_bookmakers,0.038435128,0.40129783976113387,479
tab_retail_sharp_diff,0.031503875,0.4915370806160454,479
tab_sharp_prob,0.030973122,0.4988692188943235,479
tab_consensus_prob,0.02685003,0.5577337593784133,479
inj_impact_out_away,0.025457086,0.5783536234143936,479
inj_impact_out_home,0.025081633,0.583973257332013,479
inj_impact_gtd_away,-0.010883919,0.812198295504566,479
inj_impact_gtd_home,-0.0072456487,0.874325396933085,479
inj_injury_news_recency,-0.0017246964,0.9699677431764182,479
hours_until_event,0.0016582345,0.9711255091778921,479
