mode,threshold,n_bets,n_home,n_away,win_rate,total_pnl,total_staked,roi,avg_clv,perm_mean_roi,perm_std_roi,p_value
bet365,0.005,1307,495,812,0.4391736801836266,-5508.53990787811,130700.0,-0.04214644152928929,0.0104752362033462,-0.03528089208330915,0.030072137397142557,0.589
bet365,0.01,792,283,509,0.4595959595959596,-1914.6413967586432,79200.0,-0.024174765110588928,0.01510836057173267,-0.034458795750852485,0.04227673351434925,0.412
bet365,0.015,509,173,336,0.4577603143418468,-3059.6731196778883,50900.0,-0.060111456182276785,0.018628543838840307,-0.03576638043454383,0.05331771387550115,0.666
bet365,0.02,339,128,211,0.45427728613569324,-3156.104003895117,33900.0,-0.09310041309425124,0.023987521457274317,-0.037282142378770325,0.06621134719136412,0.813
bet365,0.03,154,68,86,0.44805194805194803,-1809.4857245070812,15400.0,-0.11749907301994034,0.031002342918670024,-0.04328779287968234,0.09620912757844739,0.766
bet365,0.05,56,41,15,0.48214285714285715,188.13984238833595,5600.0,0.033596400426488565,0.04724274947407788,-0.057875609900906066,0.1525607688967448,0.26
best_available,0.005,1307,495,812,0.4391736801836266,-3760.7580958082463,130700.0,-0.028773971658823613,0.0104752362033462,-0.002943262203121388,0.03124393519279462,0.796
best_available,0.01,792,283,509,0.4595959595959596,-1178.701471505376,79200.0,-0.014882594337189092,0.01510836057173267,-0.0019996897862339033,0.04403779033333328,0.616
best_available,0.015,509,173,336,0.4577603143418468,-2804.9528135323835,50900.0,-0.0551071279672374,0.018628543838840307,-0.003181210273335445,0.05569207845979717,0.818
best_available,0.02,339,128,211,0.45427728613569324,-2980.6889738380355,33900.0,-0.08792592843180046,0.023987521457274317,-0.00496462993473906,0.06892437505924064,0.884
best_available,0.03,154,68,86,0.44805194805194803,-1737.181811939955,15400.0,-0.11280401376233473,0.031002342918670024,-0.011428149153304649,0.10074955977065086,0.841
best_available,0.05,56,41,15,0.48214285714285715,206.1152133692662,5600.0,0.03680628810165468,0.04724274947407788,-0.028551879326560316,0.15903789380007874,0.334
