event_id,tab_consensus_prob,tab_sharp_prob,tab_retail_sharp_diff,tab_num_bookmakers,tab_is_weekend,tab_day_of_week,mstat_home_avg_shots,mstat_away_avg_shots,mstat_home_avg_shots_on_target,mstat_away_avg_shots_on_target,mstat_home_avg_corners,mstat_away_avg_corners,mstat_home_avg_fouls,mstat_away_avg_fouls,mstat_home_avg_yellow_cards,mstat_away_avg_yellow_cards,mstat_home_avg_red_cards,mstat_away_avg_red_cards,mstat_home_avg_ht_goals,mstat_away_avg_ht_goals,hours_until_event,target
op_2021-2022_BRE_ARS_2021-08-13,0.246148,0.246914,0.003086,8.0,0.0,4.0,,12.2,,4.4,,6.4,,7.8,,0.8,,0.0,,1.0,23.0,0.011905
op_2021-2022_MANUTD_LEE_2021-08-14,0.646437,0.641577,0.012402,8.0,1.0,5.0,12.4,15.0,4.2,6.2,4.6,7.6,10.0,10.4,1.4,1.6,0.0,0.0,1.0,1.0,23.0,-0.031017
op_2021-2022_EVE_SOU_2021-08-14,0.508743,0.497512,0.021618,8.0,1.0,5.0,12.4,14.2,4.2,5.4,6.0,5.8,10.2,10.8,0.8,1.2,0.0,0.0,0.2,0.4,23.0,-0.019506
op_2021-2022_BUR_BRI_2021-08-14,0.312667,0.30303,0.01451,8.0,1.0,5.0,11.6,11.2,3.8,3.4,6.0,3.6,7.0,10.4,0.8,1.4,0.0,0.4,0.6,0.4,23.0,0.0
op_2021-2022_LEI_WOL_2021-08-14,0.587617,0.578059,0.022725,8.0,1.0,5.0,15.4,14.8,6.0,5.2,7.2,7.4,12.4,11.8,1.0,1.6,0.0,0.0,0.4,0.4,23.0,-0.013029
op_2021-2022_CHE_CRYPAL_2021-08-14,0.792233,0.793814,-0.003224,8.0,1.0,5.0,16.0,14.4,5.6,6.0,5.4,6.6,11.8,11.8,1.2,2.2,0.2,0.0,0.2,0.6,23.0,-0.029173
op_2021-2022_WAT_ASTVIL_2021-08-14,0.316149,0.314465,0.000671,8.0,1.0,5.0,12.2,13.8,3.6,3.8,3.4,5.6,14.2,11.8,2.0,1.8,0.0,0.2,0.4,1.2,23.0,-0.025518
op_2021-2022_NOR_LIV_2021-08-14,0.112787,0.11976,-0.008649,8.0,1.0,5.0,7.2,19.200001,2.2,5.6,2.2,9.2,9.2,10.6,1.6,0.4,0.4,0.0,0.2,1.2,23.0,0.039924
op_2021-2022_NEW_WESHAM_2021-08-15,0.310614,0.311526,-0.003761,8.0,1.0,6.0,11.2,16.6,4.2,4.6,4.4,4.4,8.6,7.4,1.0,1.2,0.2,0.0,1.2,1.0,23.0,-0.008703
op_2021-2022_TOT_MANCIT_2021-08-15,0.182419,0.179856,0.006291,8.0,1.0,6.0,15.2,16.0,7.0,5.6,6.6,5.4,9.6,10.2,1.4,1.8,0.0,0.2,1.0,1.2,23.0,-0.016091
op_2021-2022_LIV_BUR_2021-08-21,0.828342,0.826389,0.014058,8.0,1.0,5.0,20.200001,12.8,6.0,3.8,9.8,6.4,11.4,8.2,0.6,0.8,0.0,0.0,1.2,0.6,23.0,-0.044789
op_2021-2022_CRYPAL_BRE_2021-08-21,0.383629,0.377358,0.011028,8.0,1.0,5.0,11.0,8.0,4.6,3.0,4.8,2.0,12.4,12.0,2.0,0.0,0.0,0.0,0.4,1.0,23.0,-0.007566
op_2021-2022_ASTVIL_NEW_2021-08-21,0.549696,0.545455,0.010101,8.0,1.0,5.0,13.8,13.6,3.2,4.6,5.4,5.2,11.8,7.4,1.8,0.8,0.0,0.0,1.0,1.6,23.0,0.001763
op_2021-2022_LEE_EVE_2021-08-21,0.422729,0.41841,0.005326,8.0,1.0,5.0,14.8,13.4,6.4,4.8,6.6,6.0,11.0,10.8,1.8,1.0,0.0,0.0,1.0,0.0,23.0,0.061922
op_2021-2022_MANCIT_NOR_2021-08-21,0.906212,0.900892,0.012517,8.0,1.0,5.0,15.6,7.6,5.8,2.2,6.4,2.2,9.8,7.0,2.0,1.0,0.2,0.4,1.2,0.0,23.0,-0.018018
op_2021-2022_BRI_WAT_2021-08-21,0.575988,0.570815,0.008831,8.0,1.0,5.0,10.6,13.0,4.0,4.2,4.4,3.0,8.4,15.6,1.4,2.2,0.4,0.0,0.2,0.6,23.0,-0.004584
op_2021-2022_WOL_TOT_2021-08-22,0.309696,0.307692,7.3e-05,8.0,1.0,6.0,14.2,13.8,3.8,5.4,7.0,6.0,11.6,10.2,2.0,1.6,0.0,0.0,0.2,0.8,23.0,0.039014
op_2021-2022_SOU_MANUTD_2021-08-22,0.184559,0.18797,0.002939,8.0,1.0,6.0,13.0,12.0,4.8,4.4,6.6,4.4,12.6,8.6,1.0,1.4,0.0,0.0,0.6,1.2,23.0,0.009813
op_2021-2022_ARS_CHE_2021-08-22,0.20676,0.204082,0.006445,8.0,1.0,6.0,12.8,16.799999,4.2,5.8,6.0,6.2,7.6,11.8,0.6,1.0,0.0,0.2,0.8,0.4,23.0,0.012959
op_2021-2022_WESHAM_LEI_2021-08-23,0.387528,0.383142,0.009166,8.0,0.0,0.0,13.8,12.6,5.6,5.2,4.8,6.2,6.4,11.0,1.0,1.2,0.0,0.0,0.8,0.6,23.0,0.013528
