event_id,tab_consensus_prob,tab_sharp_prob,tab_retail_sharp_diff,tab_num_bookmakers,tab_is_weekend,tab_day_of_week,stnd_home_league_position,stnd_away_league_position,stnd_points_gap,stnd_home_goal_difference,stnd_away_goal_difference,stnd_home_form_last_5,stnd_away_form_last_5,stnd_home_goals_scored_rate,stnd_home_goals_conceded_rate,stnd_away_goals_scored_rate,stnd_away_goals_conceded_rate,eplsched_home_rest_days,eplsched_away_rest_days,eplsched_rest_advantage,eplsched_is_midweek,hours_until_event,target
op_2021-2022_BRE_ARS_2021-08-13,0.246148,0.246914,0.003086,8.0,0.0,4.0,,,,,,,,,,,,,,,0.0,23.0,0.011905
op_2021-2022_MANUTD_LEE_2021-08-14,0.646437,0.641577,0.012402,8.0,1.0,5.0,,,,,,,,,,,,,,,0.0,23.0,-0.031017
op_2021-2022_EVE_SOU_2021-08-14,0.508743,0.497512,0.021618,8.0,1.0,5.0,,,,,,,,,,,,,,,0.0,23.0,-0.019506
op_2021-2022_BUR_BRI_2021-08-14,0.312667,0.30303,0.01451,8.0,1.0,5.0,,,,,,,,,,,,,,,0.0,23.0,0.0
op_2021-2022_LEI_WOL_2021-08-14,0.587617,0.578059,0.022725,8.0,1.0,5.0,,,,,,,,,,,,,,,0.0,23.0,-0.013029
op_2021-2022_CHE_CRYPAL_2021-08-14,0.792233,0.793814,-0.003224,8.0,1.0,5.0,,,,,,,,,,,,,,,0.0,23.0,-0.029173
op_2021-2022_WAT_ASTVIL_2021-08-14,0.316149,0.314465,0.000671,8.0,1.0,5.0,,,,,,,,,,,,,,,0.0,23.0,-0.025518
op_2021-2022_NOR_LIV_2021-08-14,0.112787,0.11976,-0.008649,8.0,1.0,5.0,,,,,,,,,,,,,,,0.0,23.0,0.039924
op_2021-2022_NEW_WESHAM_2021-08-15,0.310614,0.311526,-0.003761,8.0,1.0,6.0,,,,,,,,,,,,,,,0.0,23.0,-0.008703
op_2021-2022_TOT_MANCIT_2021-08-15,0.182419,0.179856,0.006291,8.0,1.0,6.0,,,,,,,,,,,,,,,0.0,23.0,-0.016091
op_2021-2022_LIV_BUR_2021-08-21,0.828342,0.826389,0.014058,8.0,1.0,5.0,3.0,12.0,3.0,3.0,-1.0,3.0,0.0,3.0,0.0,1.0,2.0,6.791667,6.895833,-0.104167,0.0,23.0,-0.044789
op_2021-2022_CRYPAL_BRE_2021-08-21,0.383629,0.377358,0.011028,8.0,1.0,5.0,18.0,6.0,-3.0,-3.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,7.0,7.791667,-0.791667,0.0,23.0,-0.007566
op_2021-2022_ASTVIL_NEW_2021-08-21,0.549696,0.545455,0.010101,8.0,1.0,5.0,11.0,14.0,0.0,-1.0,-2.0,0.0,0.0,2.0,3.0,2.0,4.0,7.0,6.041667,0.958333,0.0,23.0,0.001763
op_2021-2022_LEE_EVE_2021-08-21,0.422729,0.41841,0.005326,8.0,1.0,5.0,20.0,5.0,-3.0,-4.0,2.0,0.0,3.0,1.0,5.0,3.0,1.0,7.104167,7.0,0.104167,0.0,23.0,0.061922
op_2021-2022_MANCIT_NOR_2021-08-21,0.906212,0.900892,0.012517,8.0,1.0,5.0,13.0,19.0,0.0,-1.0,-3.0,0.0,0.0,0.0,1.0,0.0,3.0,5.9375,6.895833,-0.958333,0.0,23.0,-0.018018
op_2021-2022_BRI_WAT_2021-08-21,0.575988,0.570815,0.008831,8.0,1.0,5.0,10.0,9.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,7.104167,7.104167,0.0,0.0,23.0,-0.004584
op_2021-2022_WOL_TOT_2021-08-22,0.309696,0.307692,7.3e-05,8.0,1.0,6.0,15.0,11.0,-3.0,-1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,7.958333,6.895833,1.0625,0.0,23.0,0.039014
op_2021-2022_SOU_MANUTD_2021-08-22,0.184559,0.18797,0.002939,8.0,1.0,6.0,16.0,5.0,-3.0,-2.0,4.0,0.0,3.0,1.0,3.0,5.0,1.0,7.958333,8.0625,-0.104167,0.0,23.0,0.009813
op_2021-2022_ARS_CHE_2021-08-22,0.20676,0.204082,0.006445,8.0,1.0,6.0,16.0,8.0,-3.0,-2.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,8.854167,8.0625,0.791667,0.0,23.0,0.012959
op_2021-2022_WESHAM_LEI_2021-08-23,0.387528,0.383142,0.009166,8.0,0.0,0.0,9.0,11.0,0.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,0.0,8.25,9.208333,-0.958333,0.0,23.0,0.013528
